axes_hydrostatic_tank_level,main_hydraulic_tank_level,table_hydrostatic_tank_level,oil_level_of_coolant_tank,hydraulic_unit_oil_pump_22m2_current__r,hydraulic_unit_oil_pump_22m2_current__y,hydraulic_unit_oil_pump_22m2_current__b,vibration_of_hydraulic_unit_oil_pump_22m2,flow_of_hydraulic_unit_oil_pump_22m2,pressure_of_hydraulic_unit_oil_pump_22m2,hydraulic_unit_oil_pump_22m6_current__r,hydraulic_unit_oil_pump_22m6_current__y,hydraulic_unit_oil_pump_22m6_current__b,vibration_of_hydraulic_unit_oil_pump_22m6,flow_of_hydraulic_unit_oil_pump_22m6,pressure_of_hydraulic_unit_oil_pump_22m6,gearbox_oil_delivery_pump_39m2_current__r,gearbox_oil_delivery_pump_39m2_current__y,gearbox_oil_delivery_pump_39m2_current__b,vibration_of_gearbox_oil_delivery_pump_39m2,flow_of_gearbox_oil_delivery_pump_39m2,pressure_of_gearbox_oil_delivery_pump_39m2,gearbox_oil_delivery_pump_39m3_current__r,gearbox_oil_delivery_pump_39m3_current__y,gearbox_oil_delivery_pump_39m3_current__b,vibration_of_gearbox_oil_delivery_pump_39m3,flow_of_gearbox_oil_delivery_pump_39m3,pressure_of_gearbox_oil_delivery_pump_39m3,oil_delivery_pump_tp_x_pockets_40m2_current__r,oil_delivery_pump_tp_x_pockets_40m2_current__y,oil_delivery_pump_tp_x_pockets_40m2_current__b,vibration_of_oil_delivery_pump_tp_x_pockets_40m2,flow_of_oil_delivery_pump_tp_x_pockets_40m2,pressure_of_oil_delivery_pump_tp_x_pockets_40m2,oil_delivery_pump_tp_y_pockets_40m4_current__r,oil_delivery_pump_tp_y_pockets_40m4_current__y,oil_delivery_pump_tp_y_pockets_40m4_current__b,vibraton_of_oil_delivery_pump_tp_x_pockets_40m4,flow_of_oil_delivery_pump_tp_x_pockets_40m4,pressure_of_oil_delivery_pump_tp_x_pockets_40m4,vibraton_of_right_side_lead_screw,vibraton_of_left_side_lead_screw,temperature_of_right_side_lead_screw,temperature_of_left_side_lead_screw,vibraton_of_cross_rail_motor,temp_axes_hydrostatic_tank,temp_main_hydraulic_tank,temp_table_hydrostatic_tank,cs1000__axes_hydrostatics_tank,cs1000__main_hydraulic_tank,cs1000__table_hydrostatics_tank,dew_point,inclination__x,inclination__y,cross_rail_lub_tank_level,table_vibration,air_pressure_inlet_line,main_hydraulic_tank_22m5_flow,main_hydraulic_tank_22m5_pressure,table_hydrostatics_40m6_flow,table_hydrostatics_40m6_pressure,cross_rail_vfd_current,lub_pump_for_sw_220_tank,main_power_supply_current_y,main_power_supply_current_r,main_power_supply_current_b,main_power_supply_voltage_r,main_power_supply_voltage_y,main_power_supply_voltage_b,main_power_supply_total_power,main_supply_energy,entrytime
389.08783,228.7916,494.94177,778.58075,12.126737,12.276476,13.051215,0.426794,0,145.37218,10.889757,10.685764,11.707899,1.2613933,4.981875,119.29434,2.3491755,2.486979,2.4576821,0.9268302,8.719875,49.641926,2.200521,2.2927518,2.2753906,0.9666161,20.916668,24.64916,6.392144,6.511502,6.892361,3.1150534,139.69499,19.675926,6.338976,6.260851,6.7241755,0.6239149,132.30501,23.338036,0,0,30.967882,31.228298,0,40.104164,44.943577,36.161747,14,7,14,4.0400753,0.33203065,0.14648616,123.77387,-0.21701455,5.9595633,67.21268,11.827256,0,4.4759116,0.14467593,115.18916,56.79636,53.243244,60.864956,408.71182,410.56757,408.21927,24.155827,116127.65,44744.5400231482
389.41333,229.33955,495.8026,778.8086,12.111546,12.239583,13.046875,0.4385489,0,145.43547,10.844185,10.61632,11.6536455,0.958478,4.981875,119.66508,2.3480902,2.4858942,2.4609375,0.620298,8.719875,49.479168,2.200521,2.298177,2.2764757,1.0923033,20.916668,24.594906,6.3812933,6.486545,6.883681,3.0870225,139.69499,19.684969,6.32704,6.238064,6.72092,0.6944445,132.3,23.347078,0,0,30.967882,31.228298,0,40.12044,44.958042,36.161747,14,3,14,4.01331,0.29947937,0.1627618,124.70486,-0.21520555,5.9613714,67.21268,11.818214,0,4.4668694,0.14467593,115.27959,56.672962,53.68356,60.52597,408.71182,410.56757,408.21927,24.155827,116127.68,44744.5400462963
389.08783,229.85098,495.5874,778.22266,12.163629,12.269965,12.9817705,0.46025032,0,145.3993,10.902779,10.674913,11.618923,0.83731186,4.981875,120.062935,2.3611112,2.4815538,2.4598522,1.5932437,8.719875,49.343533,2.2124565,2.3057725,2.2743056,1.0543258,20.916668,25.065104,6.4051647,6.4854603,6.864149,3.0770762,139.7,19.666883,6.3834634,6.2782116,6.71658,0.6338614,132.295,23.328993,0,0,30.967882,31.228298,0,40.104164,44.929108,36.16898,14,13,14,4.2881947,0.30273557,0.14648616,124.84809,-0.21882206,5.9613714,67.21268,11.818214,0,4.4668694,0.14467593,115.58703,56.672962,53.68356,60.52597,409.26364,410.31738,408.3187,24.20007,116127.68,44744.5400694445
389.3229,229.15689,495.5874,778.48303,12.126737,12.241753,13.023004,0.5081742,0,145.41739,10.855035,10.607638,11.649305,0.94129777,4.981875,119.55657,2.3502605,2.4815538,2.4587674,1.3527199,8.719875,49.60576,2.2059462,2.3014324,2.2764757,1.0543258,20.916668,24.64012,6.375868,6.4735246,6.8684897,2.9848452,139.685,19.684969,6.3205295,6.2261286,6.691623,0.64832896,132.295,23.328993,0,0,30.967882,31.228298,0,40.115017,44.856773,36.18345,14,2,14,4.380787,0.29947937,0.13671756,125.7194,-0.21701455,5.962095,66.90712,11.827256,0,4.457827,0.14467593,115.58703,56.52293,53.590096,60.925186,409.26364,410.31738,408.3187,24.20007,116127.7,44744.5400925926
388.65378,229.65005,495.21844,778.8411,12.150608,12.280816,13.049046,0.52445024,0,145.37218,10.889757,10.661893,11.677517,1.0968244,4.981875,119.70124,2.3535156,2.4902344,2.4641929,0.8960866,8.720156,49.940323,2.2059462,2.3014324,2.2786458,1.1483651,20.916668,24.748625,6.4073353,6.515842,6.8988714,3.1684027,139.69,19.684969,6.3671875,6.270616,6.748047,0.656467,132.29,23.328993,0,0,30.967882,31.228298,0,40.12587,44.7772,36.18345,14,12,14,4.5211225,0.29296696,0.1595056,124.68696,-0.21882206,5.963542,67.21268,11.845342,0,4.4668694,0.14467593,115.58703,56.52293,53.590096,60.925186,408.26614,409.9325,408.38177,23.943188,116127.7,44744.5401157407
389.08783,229.01077,494.35764,778.22266,12.161458,12.246094,13.068576,0.5081742,0,145.40834,10.911459,10.62934,11.697048,1.3563368,4.981875,119.25817,2.3502605,2.4880643,2.467448,1.2197989,8.720156,49.8499,2.2070312,2.3090277,2.284071,1.0886863,20.916668,25.01085,6.4116755,6.4941406,6.910807,3.1231916,139.69,19.666883,6.357422,6.25,6.7361107,0.6781684,132.3,23.347078,0,0,30.967882,31.228298,0,40.104164,44.827835,36.19068,14,3,14,4.799624,0.30273557,0.17903745,124.102104,-0.21701455,5.96318,66.904724,11.818214,0,4.4668694,0.14467593,115.442345,56.77551,53.423622,60.96018,408.26614,409.9325,408.38177,23.943188,116127.73,44744.5401388889
389.5942,229.35782,495.55664,778.1901,12.137587,12.2786455,13.023004,0.44307,0,145.3993,10.881077,10.657552,11.640625,1.1782045,4.981875,119.42094,2.357856,2.486979,2.4598522,0.9539569,8.720156,49.42491,2.2016058,2.2992623,2.2786458,0.9991681,20.916,24.974682,6.4051647,6.5017357,6.878255,2.9387298,139.7,19.712093,6.341146,6.2510853,6.6937933,0.6736473,132.29,23.328993,0,0,30.967882,31.228298,0,40.115017,44.856773,36.19068,14,7,14,4.8524303,0.30273557,0.13671756,124.86599,-0.21882206,5.962818,66.904724,11.836299,0,4.457827,0.14467593,115.60511,56.77551,53.423622,60.96018,408.8376,410.6815,408.45343,24.331146,116127.73,44744.540162037
389.12396,229.30302,495.00323,778.2877,12.146267,12.267796,13.038195,0.4159433,0,145.39026,10.889757,10.63368,11.675347,1.0904949,4.981875,119.80975,2.3546007,2.489149,2.4652777,0.68268955,8.720156,49.28928,2.2092013,2.3090277,2.2862415,1.0525173,20.916668,25.110315,6.4029946,6.4930553,6.8847656,2.947772,139.69499,19.703053,6.3736978,6.2782116,6.7513022,0.6221065,132.3,23.338036,0,0,30.967882,31.228298,0,40.093315,44.827835,36.197914,14,13,14,5.141059,0.30599177,0.13997376,125.0689,-0.21701455,5.9624567,66.90712,11.818214,0,4.457827,0.14467593,115.08066,56.889236,53.6336,60.79359,408.8376,410.6815,408.45343,24.331146,116127.76,44744.5401851852
388.47293,228.95598,495.27997,778.54816,12.124565,12.3307295,13.064237,0.48376015,0,145.41739,10.848524,10.674913,11.660156,0.7396557,4.981875,120.01772,2.3589408,2.4956598,2.4598522,1.3527199,8.720156,49.551506,2.2113717,2.300347,2.280816,1.0498047,20.916668,24.40502,6.3986545,6.5266924,6.888021,2.85102,139.7,19.69401,6.3205295,6.2695312,6.711155,0.66822195,132.3,23.338036,0,0,30.967882,31.228298,0,40.104164,44.849537,36.255787,14,13,14,5.0137444,0.30599177,0.13671756,125.34939,-0.21701455,5.9617333,66.904724,11.827256,0,4.4487844,0.14467593,115.75883,56.889236,53.6336,60.79359,409.15955,410.8217,408.38058,24.36024,116127.76,44744.5402083333
388.47293,228.80986,495.8026,778.1901,12.163629,12.298177,13.046875,0.5000362,0,145.37218,10.909288,10.683594,11.692708,0.9991681,4.981875,119.84592,2.3535156,2.489149,2.4620228,1.027199,8.720156,49.949364,2.2092013,2.3068576,2.2873263,0.96028644,20.916,25.092232,6.418186,6.506077,6.890191,3.080693,139.69499,19.675926,6.3585067,6.279297,6.7285156,0.6600839,132.30501,23.347078,0,0,30.967882,31.228298,0,40.115017,44.820602,36.320892,14,1,14,4.8705153,0.3124988,0.13671756,124.10807,-0.21701455,5.9624567,66.904724,11.818214,0,4.457827,0.14467593,114.80939,56.808655,53.715794,60.71078,409.15955,410.8217,408.38058,24.36024,116127.78,44744.5402314815
